feature_name,display_name,description,concept,concept_display_name,source_table,source_feature_file,data_kind,pandas_dtype,value_type,unit,missing_rate,non_null_count,unique_count,sensitive,mutable,allowed_for_model,allowed_in_user_explanation,allowed_in_recommendation,direction_prior,formatting_rule
OCCUPATION_TYPE,nghề nghiệp,"Feature `OCCUPATION_TYPE` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,categorical,str,categorical,,0.31345545362604915,211120,18,True,False,True,limited,False,unknown,category
CNT_FAM_MEMBERS,số thành viên gia đình,"Feature `CNT_FAM_MEMBERS` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,numeric,float64,count,count,6.503832383231819e-06,307509,17,True,False,True,limited,False,unknown,integer
ORGANIZATION_TYPE,loại tổ chức làm việc,"Feature `ORGANIZATION_TYPE` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,categorical,str,categorical,,0.0,307511,58,True,False,True,limited,False,unknown,category
EXT_SOURCE_1,tín hiệu điểm ngoài 1,"Feature `EXT_SOURCE_1` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,float64,score,score,0.5638107254699832,134133,114584,True,False,True,limited,False,higher_value_may_decrease_risk,number_3_decimal
EXT_SOURCE_2,tín hiệu điểm ngoài 2,"Feature `EXT_SOURCE_2` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,float64,score,score,0.0021462646864665006,306851,119831,True,False,True,limited,False,higher_value_may_decrease_risk,number_3_decimal
EXT_SOURCE_3,tín hiệu điểm ngoài 3,"Feature `EXT_SOURCE_3` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,float64,score,score,0.19825307062186392,246546,814,True,False,True,limited,False,higher_value_may_decrease_risk,number_3_decimal
days_employed_abnormal,dấu hiệu ngày làm việc bất thường,"Feature `days_employed_abnormal` thuộc nhóm `độ ổn định hồ sơ`, được tạo từ bảng `application_train` trong Data Layer.",applicant_stability,độ ổn định hồ sơ,application_train,application_features.parquet,binary,int8,binary_indicator,0_or_1,0.0,307511,2,False,False,True,True,False,unknown,boolean_indicator
age_years,tuổi của khách hàng,"Feature `age_years` thuộc nhóm `độ ổn định hồ sơ`, được tạo từ bảng `application_train` trong Data Layer.",applicant_stability,độ ổn định hồ sơ,application_train,application_features.parquet,numeric,float64,years,years,0.0,307511,17460,True,False,True,limited,False,unknown,number_1_decimal
employment_years,số năm làm việc,"Feature `employment_years` thuộc nhóm `độ ổn định hồ sơ`, được tạo từ bảng `application_train` trong Data Layer.",applicant_stability,độ ổn định hồ sơ,application_train,application_features.parquet,numeric,float64,years,years,0.18007811102692262,252135,12572,False,False,True,True,False,unknown,number_1_decimal
registration_years,số năm từ khi đăng ký,"Feature `registration_years` thuộc nhóm `độ ổn định hồ sơ`, được tạo từ bảng `application_train` trong Data Layer.",applicant_stability,độ ổn định hồ sơ,application_train,application_features.parquet,numeric,float64,years,years,0.0,307511,15688,False,False,True,True,False,unknown,number_1_decimal
id_publish_years,số năm từ khi cấp giấy tờ,"Feature `id_publish_years` thuộc nhóm `độ ổn định hồ sơ`, được tạo từ bảng `application_train` trong Data Layer.",applicant_stability,độ ổn định hồ sơ,application_train,application_features.parquet,numeric,float64,years,years,0.0,307511,6168,False,False,True,True,False,unknown,number_1_decimal
credit_to_income_ratio,tỷ lệ khoản vay trên thu nhập,"Feature `credit_to_income_ratio` thuộc nhóm `khả năng gánh khoản vay`, được tạo từ bảng `application_train` trong Data Layer.",loan_affordability,khả năng gánh khoản vay,application_train,application_features.parquet,numeric,float64,ratio,ratio,0.0,307511,48697,False,False,True,True,False,higher_value_may_increase_risk,ratio_as_percentage_1_decimal
annuity_to_income_ratio,tỷ lệ trả góp định kỳ trên thu nhập,"Feature `annuity_to_income_ratio` thuộc nhóm `khả năng gánh khoản vay`, được tạo từ bảng `application_train` trong Data Layer.",loan_affordability,khả năng gánh khoản vay,application_train,application_features.parquet,numeric,float64,ratio,ratio,3.9022994299390916e-05,307499,88811,False,False,True,True,False,higher_value_may_increase_risk,ratio_as_percentage_1_decimal
goods_price_to_income_ratio,tỷ lệ giá trị hàng hóa trên thu nhập,"Feature `goods_price_to_income_ratio` thuộc nhóm `khả năng gánh khoản vay`, được tạo từ bảng `application_train` trong Data Layer.",loan_affordability,khả năng gánh khoản vay,application_train,application_features.parquet,numeric,float64,ratio,ratio,0.0009040327012692228,307233,13410,False,False,True,True,False,unknown,ratio_as_percentage_1_decimal
annuity_to_credit_ratio,tỷ lệ trả góp định kỳ trên khoản vay,"Feature `annuity_to_credit_ratio` thuộc nhóm `khả năng gánh khoản vay`, được tạo từ bảng `application_train` trong Data Layer.",loan_affordability,khả năng gánh khoản vay,application_train,application_features.parquet,numeric,float64,ratio,ratio,3.9022994299390916e-05,307499,39539,False,False,True,True,False,unknown,ratio_as_percentage_1_decimal
credit_to_goods_price_ratio,tỷ lệ khoản vay trên giá trị hàng hóa,"Feature `credit_to_goods_price_ratio` thuộc nhóm `khả năng gánh khoản vay`, được tạo từ bảng `application_train` trong Data Layer.",loan_affordability,khả năng gánh khoản vay,application_train,application_features.parquet,numeric,float64,ratio,ratio,0.0009040327012692228,307233,3066,False,False,True,True,False,unknown,ratio_as_percentage_1_decimal
income_per_family_member,thu nhập trên mỗi thành viên gia đình,"Feature `income_per_family_member` thuộc nhóm `khả năng gánh khoản vay`, được tạo từ bảng `application_train` trong Data Layer.",loan_affordability,khả năng gánh khoản vay,application_train,application_features.parquet,numeric,float64,amount,currency,6.503832383231819e-06,307509,3064,False,False,True,True,False,unknown,currency_rounded
ext_source_mean,trung bình tín hiệu điểm ngoài,"Feature `ext_source_mean` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,float64,score,score,0.0005593295849579365,307339,300347,True,False,True,limited,False,higher_value_may_decrease_risk,number_3_decimal
ext_source_min,tín hiệu điểm ngoài thấp nhất,"Feature `ext_source_min` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,float64,score,score,0.0005593295849579365,307339,139146,True,False,True,limited,False,higher_value_may_decrease_risk,number_3_decimal
ext_source_max,tín hiệu điểm ngoài cao nhất,"Feature `ext_source_max` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,float64,score,score,0.0005593295849579365,307339,121113,True,False,True,limited,False,higher_value_may_decrease_risk,number_3_decimal
ext_source_std,độ biến động tín hiệu điểm ngoài,"Feature `ext_source_std` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,float64,score,score,0.12002497471635161,270602,269867,True,False,True,limited,False,higher_value_may_decrease_risk,number_3_decimal
ext_source_missing_count,số lượng tín hiệu điểm ngoài bị thiếu,"Feature `ext_source_missing_count` thuộc nhóm `tín hiệu điểm ngoài`, được tạo từ bảng `application_train` trong Data Layer.",external_score_signal,tín hiệu điểm ngoài,application_train,application_features.parquet,numeric,int8,count,count,0.0,307511,4,True,False,True,limited,False,higher_value_may_decrease_risk,integer
bureau_record_count,số bản ghi bureau,"Feature `bureau_record_count` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,61,False,False,True,True,False,unknown,integer
bureau_total_loans,tổng số khoản tín dụng bureau,"Feature `bureau_total_loans` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,61,False,False,True,True,False,unknown,integer
bureau_active_loan_count,số khoản tín dụng bureau đang hoạt động,"Feature `bureau_active_loan_count` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,23,False,False,True,True,False,unknown,integer
bureau_closed_loan_count,số khoản tín dụng bureau đã đóng,"Feature `bureau_closed_loan_count` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,54,False,False,True,True,False,higher_value_may_decrease_risk,integer
bureau_sold_loan_count,số khoản tín dụng bureau đã bán,"Feature `bureau_sold_loan_count` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,8,False,False,True,True,False,unknown,integer
bureau_bad_debt_count,số khoản nợ xấu bureau,"Feature `bureau_bad_debt_count` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,2,False,False,True,True,False,higher_value_may_increase_risk,integer
bureau_overdue_count,số khoản bureau bị quá hạn,"Feature `bureau_overdue_count` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,8,False,False,True,True,False,higher_value_may_increase_risk,integer
bureau_max_days_credit_overdue,số ngày quá hạn bureau lớn nhất,"Feature `bureau_max_days_credit_overdue` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,days,days,0.14314935075493235,263491,868,False,False,True,True,False,higher_value_may_increase_risk,integer
bureau_avg_days_credit_overdue,số ngày quá hạn bureau trung bình,"Feature `bureau_avg_days_credit_overdue` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,days,days,0.14314935075493235,263491,1541,False,False,True,True,False,higher_value_may_increase_risk,integer
bureau_credit_sum_total,tổng giá trị tín dụng bureau,"Feature `bureau_credit_sum_total` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.0,307511,205644,False,False,True,True,False,unknown,currency_rounded
bureau_credit_sum_mean,bureau credit sum mean,"Feature `bureau_credit_sum_mean` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.14315260267112395,263490,209604,False,False,True,True,False,unknown,currency_rounded
bureau_credit_sum_max,bureau credit sum max,"Feature `bureau_credit_sum_max` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.14315260267112395,263490,65160,False,False,True,True,False,unknown,currency_rounded
bureau_credit_debt_total,tổng dư nợ bureau,"Feature `bureau_credit_debt_total` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.0,307511,155004,False,False,True,True,False,unknown,currency_rounded
bureau_credit_debt_mean,bureau credit debt mean,"Feature `bureau_credit_debt_mean` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.16708345392522544,256131,169333,False,False,True,True,False,unknown,currency_rounded
bureau_credit_debt_max,bureau credit debt max,"Feature `bureau_credit_debt_max` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.16708345392522544,256131,138943,False,False,True,True,False,unknown,currency_rounded
bureau_credit_limit_total,tổng hạn mức tín dụng bureau,"Feature `bureau_credit_limit_total` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.0,307511,37290,False,False,True,True,False,unknown,currency_rounded
bureau_credit_limit_mean,bureau credit limit mean,"Feature `bureau_credit_limit_mean` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.21159893467225563,242442,38950,False,False,True,True,False,unknown,currency_rounded
bureau_overdue_amount_total,tổng số tiền quá hạn bureau,"Feature `bureau_overdue_amount_total` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.0,307511,1218,False,False,True,True,False,higher_value_may_increase_risk,currency_rounded
bureau_overdue_amount_max,bureau overdue amount max,"Feature `bureau_overdue_amount_max` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,amount,currency,0.14314935075493235,263491,1203,False,False,True,True,False,higher_value_may_increase_risk,currency_rounded
bureau_avg_days_credit,bureau avg days credit,"Feature `bureau_avg_days_credit` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,days,days,0.14314935075493235,263491,64556,False,False,True,True,False,unknown,integer
bureau_min_days_credit,bureau min days credit,"Feature `bureau_min_days_credit` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,days,days,0.14314935075493235,263491,2922,False,False,True,True,False,unknown,integer
bureau_max_days_credit,bureau max days credit,"Feature `bureau_max_days_credit` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,days,days,0.14314935075493235,263491,2923,False,False,True,True,False,unknown,integer
bureau_recent_loan_count,bureau recent loan count,"Feature `bureau_recent_loan_count` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,count,count,0.0,307511,32,False,False,True,True,False,unknown,integer
bureau_debt_to_credit_ratio,tỷ lệ dư nợ trên tổng tín dụng bureau,"Feature `bureau_debt_to_credit_ratio` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,ratio,ratio,0.14667117599045237,262408,184778,False,False,True,True,False,higher_value_may_increase_risk,ratio_as_percentage_1_decimal
bureau_long_history_months,độ dài lịch sử bureau theo tháng,"Feature `bureau_long_history_months` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,numeric,float64,months,months,0.14314935075493235,263491,2922,False,False,True,True,False,unknown,integer
has_bureau_history,có lịch sử bureau hay không,"Feature `has_bureau_history` thuộc nhóm `lịch sử tín dụng bên ngoài`, được tạo từ bảng `bureau` trong Data Layer.",external_credit_history,lịch sử tín dụng bên ngoài,bureau,bureau_features.parquet,binary,int8,binary_indicator,0_or_1,0.0,307511,2,False,False,True,True,False,unknown,boolean_indicator
bureau_balance_months_observed,số tháng bureau balance quan sát được,"Feature `bureau_balance_months_observed` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,count,count,0.0,307511,1102,False,False,True,True,False,unknown,integer
bureau_balance_good_status_count,số tháng bureau có trạng thái tốt,"Feature `bureau_balance_good_status_count` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,count,count,0.0,307511,451,False,False,True,True,False,higher_value_may_decrease_risk,integer
bureau_balance_bad_status_count,số tháng bureau có trạng thái xấu,"Feature `bureau_balance_bad_status_count` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,count,count,0.0,307511,162,False,False,True,True,False,higher_value_may_increase_risk,integer
bureau_balance_closed_status_count,bureau balance closed status count,"Feature `bureau_balance_closed_status_count` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,count,count,0.0,307511,764,False,False,True,True,False,higher_value_may_decrease_risk,integer
bureau_balance_unknown_status_count,bureau balance unknown status count,"Feature `bureau_balance_unknown_status_count` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,count,count,0.0,307511,536,False,False,True,True,False,unknown,integer
bureau_balance_recent_month_count,bureau balance recent month count,"Feature `bureau_balance_recent_month_count` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,count,count,0.0,307511,352,False,False,True,True,False,unknown,integer
bureau_balance_recent_bad_status_count,bureau balance recent bad status count,"Feature `bureau_balance_recent_bad_status_count` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,count,count,0.0,307511,60,False,False,True,True,False,higher_value_may_increase_risk,integer
bureau_balance_max_status_numeric,bureau balance max status numeric,"Feature `bureau_balance_max_status_numeric` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,numeric,,0.7053243623805328,90616,6,False,False,True,True,False,unknown,number_3_decimal
bureau_balance_avg_status_numeric,bureau balance avg status numeric,"Feature `bureau_balance_avg_status_numeric` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,numeric,,0.7053243623805328,90616,14559,False,False,True,True,False,unknown,number_3_decimal
bureau_balance_bad_status_ratio,tỷ lệ tháng bureau có trạng thái xấu,"Feature `bureau_balance_bad_status_ratio` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,ratio,ratio,0.700072517731073,92231,6403,False,False,True,True,False,higher_value_may_increase_risk,ratio_as_percentage_1_decimal
bureau_balance_recent_bad_status_ratio,bureau balance recent bad status ratio,"Feature `bureau_balance_recent_bad_status_ratio` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,numeric,float64,ratio,ratio,0.7071486873640292,90055,1501,False,False,True,True,False,higher_value_may_increase_risk,ratio_as_percentage_1_decimal
has_bureau_balance_history,có lịch sử bureau balance hay không,"Feature `has_bureau_balance_history` thuộc nhóm `hành vi tín dụng hàng tháng từ bureau`, được tạo từ bảng `bureau_balance` trong Data Layer.",bureau_monthly_behavior,hành vi tín dụng hàng tháng từ bureau,bureau_balance,bureau_balance_features.parquet,binary,int8,binary_indicator,0_or_1,0.0,307511,2,False,False,True,True,False,unknown,boolean_indicator
previous_application_count,số đơn vay trước đó,"Feature `previous_application_count` thuộc nhóm `lịch sử đơn vay trước đó`, được tạo từ bảng `previous_application` trong Data Layer.",previous_application_behavior,lịch sử đơn vay trước đó,previous_application,previous_application_features.parquet,numeric,float64,count,count,0.0,307511,66,False,False,True,True,False,unknown,integer
previous_approved_count,số đơn vay trước được duyệt,"Feature `previous_approved_count` thuộc nhóm `lịch sử đơn vay trước đó`, được tạo từ bảng `previous_application` trong Data Layer.",previous_application_behavior,lịch sử đơn vay trước đó,previous_application,previous_application_features.parquet,numeric,float64,count,count,0.0,307511,26,False,False,True,True,False,higher_value_may_decrease_risk,integer
previous_refused_count,số đơn vay trước bị từ chối,"Feature `previous_refused_count` thuộc nhóm `lịch sử đơn vay trước đó`, được tạo từ bảng `previous_application` trong Data Layer.",previous_application_behavior,lịch sử đơn vay trước đó,previous_application,previous_application_features.parquet,numeric,float64,count,count,0.0,307511,46,False,False,True,True,False,higher_value_may_increase_risk,integer
previous_canceled_count,previous canceled count,"Feature `previous_canceled_count` thuộc nhóm `lịch sử đơn vay trước đó`, được tạo từ bảng `previous_application` trong Data Layer.",previous_application_behavior,lịch sử đơn vay trước đó,previous_application,previous_application_features.parquet,numeric,float64,count,count,0.0,307511,39,False,False,True,True,False,higher_value_may_increase_risk,integer
previous_unused_offer_count,previous unused offer count,"Feature `previous_unused_offer_count` thuộc nhóm `lịch sử đơn vay trước đó`, được tạo từ bảng `previous_application` trong Data Layer.",previous_application_behavior,lịch sử đơn vay trước đó,previous_application,previous_application_features.parquet,numeric,float64,count,count,0.0,307511,11,False,False,True,True,False,unknown,integer
previous_avg_credit_amount,previous avg credit amount,"Feature `previous_avg_credit_amount` thuộc nhóm `lịch sử đơn vay trước đó`, được tạo từ bảng `previous_application` trong Data Layer.",previous_application_behavior,lịch sử đơn vay trước đó,previous_application,previous_application_features.parquet,numeric,float64,amount,currency,0.05350702901684818,291057,210634,False,False,True,True,False,unknown,currency_rounded
previous_max_credit_amount,previous max credit amount,"Feature `previous_max_credit_amount` thuộc nhóm `lịch sử đơn vay trước đó`, được tạo từ bảng `previous_application` trong Data Layer.",previous_application_behavior,lịch sử đơn vay trước đó,previous_application,previous_application_features.parquet,numeric,float64,amount,currency,0.05350702901684818,291057,58510,False,False,True,True,False,unknown,currency_rounded
